,from data,from config,to be defined,DONE,TO BE DONE
dimensions,,,,,
-----------------,,,,,
time,x,,,x,
frequency,x,,,x,
ir_wavelength,x,,,x,
n_sidebands,,x,,,x
n_receivers,,x,,,x
bnds,x,,,x,
,,,,,
,,,,,
variables,,,,,
-----------------,,,,,
time,x,,,x,
time_bnds,x,,,x,
station_latitude,,,,x,
station_longitude,,,,x,
station_altitude,,,,x,
frequency,x,,,x,
bandwidth,,x,,,x
n_sidebands,,x,,,x
sideband_IF_separation,,x,,,x
beamwidth,,x,,,x
freq_shift,,x,,,x
tb,x,,,x,
azi,x,,,x,
ele,x,,,x,
tb_accuracy,,,x,,x
tb_cov,,,x,,x
quality_flag,x,,,x,
quality_flag_status,x,,,x,
liquid_cloud_flag,x,,,x,
liquid_cloud_flag_status,x,,,x,
pointing_flag,x,,,x,
t_amb,x,,,x,
t_rec,x,,,,x
ir_wavelength,x,,,x,
ir_bandwidth,,x,,,x
ir_beamwidth,,x,,,x
irt,x,,,x,
ir_azi,x,,,,x
ir_ele,x,,,,x
air_temperature,x,,,x,
relative_humidity,x,,,x,
air_pressure,x,,,x,
rain_rate,x,,,x,
wind_direction,x,,,x,
wind_speed,x,,,x,
met_valid_flag,,,x,,x
met_valid_flag_status,,,x,,x
,,,,,
,,,,,
global_attributes,,,,,
-----------------,,,,,
conventions,,x,,x,
title,,x,,x,
history,,x,,x,
institution,,x,,x,
source,,x,,x,
comment,,x,,x,
references,,x,,x,
site_location,,x,,x,
instrument_id,,x,,x,
wigos_station_id,,x,,x,
principal_investigator,,x,,x,
instrument_manufacturer,,x,,x,
instrument_model,,x,,x,
instrument_generation,,x,,x,
instrument_hw_id,,x,,x,
network_name,,x,,x,
campaign_name,,x,,x,
dependencies,,x,,x,
license,,x,,x,
instrument_calibration_status,,,x,x,
date_of_last_absolute_calibration,,,x,x,
date_of_last_covariance_matrix,,,x,x,
type_of_automatic_calibrations_performed,,,x,x,
factory_history,,,x,x,
ir_instrument_manufacturer,,x,,x,
ir_instrument_model,,x,,x,
ir_instrument_fabrication_year,,x,,x,
met_instrument_manufacturer,,x,,x,
met_instrument_model,,x,,x,
met_instrument_fabrication_year,,x,,x,
air_temperature_accuracy,,x,,x,
relative_humidity_accuracy,,x,,x,
air_pressure_accuracy,,x,,x,
rain_rate_accuracy,,x,,x,
wind_direction_accuracy,,x,,x,
wind_speed_accuracy,,x,,x,
