FileFormat:0002.2 file with temperature of atmosphere
radiometro padova
local	GMT or Local
0	GMT-Local=[hours]
30	Height[m]
0	0	0	Longitude                [grd]               [min]               [sec]
0	0	0	Latitude                [grd]               [min]               [sec]
N	NS
56.70	Freq[GHz]
0.00	dTemostat[K]
0.250	MessErr[K]
0.248	//[grad/step]
version 5.0.20060711
MTP5HE28F5670K-41.3D060217+A1.1
Commentary:
terrazzo dap pd MTP5HE N25
End Of Commentary

SYSTEM\summer.dat
data time	0	50	100	150	200	250	300	350	400	450	500	550	600	650	700	750	800	850	900	950	1000	OutsideTemperature
07/11/2021 00:00:00	9.45	9.51	9.52	9.57	9.62	9.67	9.71	9.75	9.80	9.86	9.95	9.95	9.96	9.87	9.77	9.55	9.33	9.09	8.84	8.57	8.31	9.45
07/11/2021 00:05:00	9.47	9.48	9.50	9.51	9.54	9.65	9.65	9.68	9.72	9.80	9.90	9.92	9.94	9.85	9.75	9.53	9.31	9.07	8.83	8.56	8.29	9.42
07/11/2021 00:10:00	9.41	9.41	9.40	9.46	9.52	9.50	9.56	9.60	9.63	9.72	9.84	9.87	9.90	9.81	9.72	9.50	9.28	9.03	8.79	8.52	8.25	9.42
07/11/2021 00:15:00	9.34	9.40	9.41	9.43	9.46	9.55	9.62	9.65	9.67	9.75	9.86	9.89	9.92	9.83	9.74	9.53	9.31	9.07	8.82	8.56	8.29	9.33
07/11/2021 00:20:00	9.27	9.41	9.44	9.45	9.47	9.51	9.55	9.58	9.61	9.66	9.74	9.75	9.75	9.65	9.55	9.33	9.11	8.86	8.62	8.36	8.09	9.33
07/11/2021 00:25:00	9.34	9.38	9.45	9.48	9.50	9.57	9.59	9.63	9.69	9.75	9.83	9.83	9.84	9.74	9.64	9.42	9.21	8.96	8.72	8.46	8.19	9.35
07/11/2021 00:30:00	9.34	9.34	9.41	9.47	9.52	9.58	9.61	9.64	9.68	9.74	9.84	9.84	9.85	9.75	9.64	9.42	9.19	8.94	8.69	8.42	8.15	9.29
07/11/2021 00:35:00	9.26	9.33	9.37	9.42	9.45	9.44	9.46	9.50	9.55	9.66	9.80	9.84	9.88	9.80	9.71	9.49	9.26	9.02	8.77	8.50	8.24	9.24
07/11/2021 00:40:00	9.18	9.30	9.30	9.32	9.36	9.40	9.42	9.46	9.52	9.58	9.67	9.69	9.70	9.61	9.52	9.30	9.09	8.85	8.61	8.35	8.09	9.18
07/11/2021 00:45:00	9.20	9.26	9.33	9.36	9.39	9.44	9.42	9.43	9.48	9.56	9.67	9.68	9.69	9.59	9.50	9.27	9.04	8.79	8.54	8.27	8.00	9.17
07/11/2021 00:50:00	9.22	9.37	9.41	9.44	9.47	9.52	9.51	9.53	9.59	9.64	9.72	9.72	9.72	9.61	9.51	9.28	9.06	8.81	8.57	8.30	8.03	9.20
07/11/2021 00:55:00	9.26	9.34	9.35	9.41	9.46	9.47	9.51	9.54	9.57	9.57	9.60	9.57	9.54	9.42	9.29	9.07	8.84	8.60	8.35	8.09	7.82	9.21
07/11/2021 01:00:00	9.31	9.35	9.39	9.42	9.46	9.53	9.52	9.52	9.55	9.62	9.71	9.72	9.72	9.62	9.51	9.28	9.05	8.80	8.55	8.27	8.00	9.30
07/11/2021 01:05:00	9.32	9.33	9.42	9.48	9.52	9.61	9.59	9.62	9.69	9.72	9.78	9.76	9.75	9.64	9.53	9.30	9.08	8.83	8.59	8.32	8.05	9.32
07/11/2021 01:10:00	9.31	9.43	9.49	9.51	9.50	9.52	9.53	9.55	9.58	9.64	9.73	9.74	9.74	9.64	9.54	9.31	9.08	8.83	8.59	8.32	8.05	9.34
07/11/2021 01:15:00	9.27	9.31	9.40	9.45	9.48	9.54	9.62	9.68	9.72	9.74	9.80	9.78	9.77	9.66	9.56	9.34	9.12	8.88	8.64	8.38	8.11	8.96
07/11/2021 01:20:00	9.17	9.35	9.42	9.48	9.53	9.61	9.63	9.67	9.72	9.75	9.81	9.79	9.78	9.67	9.55	9.33	9.10	8.86	8.61	8.34	8.07	8.78
07/11/2021 01:25:00	8.88	8.99	9.11	9.19	9.24	9.28	9.27	9.31	9.38	9.43	9.50	9.49	9.47	9.36	9.25	9.02	8.79	8.55	8.30	8.04	7.77	8.65
07/11/2021 01:30:00	8.69	8.84	8.90	8.98	9.06	9.09	9.17	9.22	9.26	9.28	9.33	9.31	9.29	9.18	9.07	8.85	8.63	8.39	8.15	7.89	7.63	8.65
07/11/2021 01:35:00	8.77	8.86	8.98	9.06	9.10	9.13	9.17	9.24	9.33	9.36	9.43	9.42	9.41	9.30	9.20	8.98	8.77	8.53	8.30	8.04	7.78	8.79
07/11/2021 01:40:00	8.80	8.97	9.09	9.15	9.19	9.24	9.28	9.29	9.29	9.38	9.49	9.51	9.52	9.42	9.32	9.08	8.85	8.60	8.35	8.07	7.80	8.77
07/11/2021 01:45:00	8.80	8.94	8.98	9.06	9.14	9.21	9.27	9.35	9.42	9.43	9.46	9.43	9.40	9.29	9.18	8.97	8.76	8.52	8.29	8.03	7.77	8.75
07/11/2021 01:50:00	8.81	8.88	8.97	9.05	9.11	9.18	9.21	9.27	9.35	9.39	9.47	9.47	9.46	9.36	9.26	9.04	8.82	8.58	8.35	8.08	7.82	8.75
07/11/2021 01:55:00	8.80	8.90	8.96	9.04	9.12	9.19	9.25	9.30	9.35	9.42	9.51	9.52	9.53	9.44	9.34	9.12	8.91	8.66	8.42	8.16	7.90	8.82
07/11/2021 02:00:00	8.90	8.99	9.08	9.11	9.12	9.17	9.18	9.23	9.31	9.40	9.51	9.54	9.57	9.48	9.40	9.18	8.96	8.73	8.49	8.23	7.97	8.89
07/11/2021 02:05:00	8.96	9.04	9.12	9.21	9.30	9.36	9.40	9.45	9.51	9.54	9.60	9.58	9.57	9.46	9.35	9.12	8.90	8.66	8.42	8.15	7.88	9.00
07/11/2021 02:10:00	9.02	9.06	9.17	9.27	9.35	9.40	9.43	9.48	9.55	9.61	9.69	9.69	9.69	9.58	9.48	9.26	9.03	8.79	8.54	8.27	8.00	9.07
07/11/2021 02:15:00	9.04	9.14	9.20	9.26	9.32	9.43	9.38	9.42	9.52	9.56	9.62	9.61	9.60	9.50	9.39	9.17	8.95	8.70	8.46	8.20	7.93	8.99
07/11/2021 02:20:00	8.90	8.97	9.09	9.16	9.22	9.31	9.36	9.42	9.49	9.54	9.61	9.61	9.61	9.50	9.40	9.19	8.97	8.73	8.49	8.23	7.97	8.90
07/11/2021 02:25:00	8.88	8.98	9.09	9.21	9.28	9.25	9.32	9.38	9.45	9.52	9.61	9.62	9.62	9.52	9.42	9.20	8.97	8.73	8.48	8.22	7.95	8.86
07/11/2021 02:30:00	9.02	9.19	9.19	9.26	9.34	9.34	9.38	9.44	9.51	9.59	9.70	9.72	9.74	9.65	9.56	9.35	9.13	8.89	8.65	8.39	8.12	8.97
07/11/2021 02:35:00	8.78	8.91	9.06	9.13	9.15	9.19	9.22	9.26	9.31	9.38	9.48	9.50	9.51	9.41	9.31	9.08	8.86	8.61	8.37	8.10	7.84	8.79
07/11/2021 02:40:00	8.82	8.87	8.98	9.03	9.09	9.21	9.22	9.26	9.33	9.39	9.48	9.49	9.50	9.40	9.30	9.08	8.86	8.62	8.39	8.12	7.86	8.81
07/11/2021 02:45:00	8.80	8.89	8.96	8.99	9.02	9.10	9.13	9.15	9.17	9.26	9.38	9.40	9.43	9.34	9.25	9.02	8.80	8.56	8.31	8.05	7.79	8.77
07/11/2021 02:50:00	8.82	8.92	8.99	9.05	9.07	9.08	9.11	9.13	9.17	9.28	9.42	9.46	9.50	9.42	9.33	9.10	8.87	8.63	8.39	8.12	7.86	8.78
07/11/2021 02:55:00	8.77	8.85	8.95	9.00	9.05	9.12	9.16	9.24	9.34	9.41	9.50	9.52	9.54	9.45	9.36	9.16	8.95	8.71	8.48	8.23	7.97	8.80
07/11/2021 03:00:00	8.74	8.87	8.99	9.06	9.12	9.18	9.18	9.19	9.24	9.33	9.44	9.46	9.47	9.37	9.27	9.04	8.81	8.56	8.31	8.04	7.77	8.76
07/11/2021 03:05:00	8.74	8.89	8.98	9.03	9.06	9.14	9.19	9.26	9.34	9.40	9.49	9.50	9.51	9.42	9.33	9.12	8.91	8.68	8.45	8.20	7.94	8.73
07/11/2021 03:10:00	8.81	8.98	9.07	9.14	9.20	9.27	9.28	9.32	9.39	9.45	9.53	9.54	9.54	9.44	9.34	9.12	8.89	8.65	8.41	8.14	7.88	8.82
07/11/2021 03:15:00	8.89	9.03	9.09	9.12	9.15	9.21	9.25	9.30	9.37	9.45	9.56	9.58	9.60	9.52	9.43	9.21	8.99	8.76	8.52	8.26	8.00	8.83
07/11/2021 03:20:00	8.88	8.89	9.05	9.16	9.22	9.26	9.31	9.37	9.44	9.48	9.54	9.53	9.51	9.40	9.29	9.06	8.84	8.60	8.35	8.09	7.82	8.84
07/11/2021 03:25:00	8.90	9.02	9.12	9.20	9.27	9.34	9.38	9.41	9.45	9.51	9.59	9.59	9.59	9.48	9.38	9.15	8.92	8.67	8.43	8.16	7.89	8.86
07/11/2021 03:30:00	8.93	9.00	9.13	9.18	9.21	9.32	9.32	9.36	9.43	9.49	9.58	9.59	9.60	9.49	9.39	9.17	8.95	8.71	8.46	8.20	7.93	8.96
07/11/2021 03:35:00	9.05	9.18	9.23	9.30	9.39	9.47	9.49	9.54	9.59	9.65	9.74	9.74	9.75	9.64	9.54	9.32	9.09	8.85	8.60	8.33	8.06	9.06
07/11/2021 03:40:00	9.10	9.14	9.29	9.35	9.36	9.39	9.48	9.55	9.62	9.66	9.73	9.73	9.73	9.63	9.53	9.31	9.10	8.86	8.62	8.36	8.10	9.15
07/11/2021 03:45:00	9.11	9.15	9.29	9.35	9.37	9.47	9.52	9.57	9.63	9.64	9.67	9.64	9.60	9.49	9.37	9.15	8.93	8.69	8.45	8.18	7.92	9.15
07/11/2021 03:50:00	9.17	9.15	9.25	9.33	9.40	9.48	9.51	9.58	9.68	9.77	9.88	9.91	9.94	9.85	9.77	9.56	9.34	9.10	8.86	8.60	8.33	9.19
07/11/2021 03:55:00	9.10	9.19	9.22	9.28	9.36	9.47	9.52	9.56	9.59	9.66	9.76	9.77	9.79	9.69	9.60	9.38	9.15	8.91	8.66	8.39	8.12	9.04
07/11/2021 04:00:00	9.00	9.09	9.22	9.27	9.30	9.38	9.42	9.48	9.56	9.61	9.69	9.69	9.70	9.60	9.50	9.28	9.07	8.83	8.59	8.33	8.07	9.00
07/11/2021 04:05:00	8.96	9.00	9.12	9.18	9.20	9.26	9.28	9.31	9.35	9.46	9.61	9.65	9.69	9.61	9.52	9.29	9.07	8.82	8.57	8.30	8.03	8.97
07/11/2021 04:10:00	8.98	9.00	9.07	9.10	9.12	9.20	9.26	9.31	9.36	9.48	9.62	9.67	9.72	9.65	9.58	9.36	9.15	8.91	8.67	8.41	8.15	8.90
07/11/2021 04:15:00	8.96	8.97	9.02	9.08	9.14	9.18	9.27	9.35	9.43	9.47	9.54	9.55	9.55	9.45	9.36	9.15	8.95	8.72	8.49	8.24	7.98	8.97
07/11/2021 04:20:00	8.99	9.00	9.14	9.23	9.27	9.30	9.36	9.41	9.46	9.53	9.62	9.63	9.64	9.54	9.44	9.21	8.99	8.74	8.50	8.23	7.97	8.97
07/11/2021 04:25:00	8.89	8.88	9.00	9.05	9.08	9.11	9.19	9.26	9.31	9.37	9.46	9.46	9.47	9.38	9.28	9.07	8.85	8.62	8.38	8.13	7.87	8.89
07/11/2021 04:30:00	8.81	8.85	8.94	8.99	9.02	9.03	9.12	9.20	9.27	9.34	9.44	9.46	9.47	9.39	9.30	9.09	8.88	8.65	8.42	8.16	7.91	8.83
07/11/2021 04:35:00	8.84	8.85	8.92	9.01	9.09	9.15	9.26	9.34	9.38	9.38	9.40	9.36	9.33	9.21	9.09	8.88	8.67	8.44	8.20	7.94	7.68	8.87
07/11/2021 04:40:00	8.88	8.97	9.01	9.07	9.15	9.23	9.28	9.35	9.43	9.48	9.56	9.56	9.57	9.47	9.38	9.17	8.96	8.73	8.49	8.24	7.98	8.93
07/11/2021 04:45:00	8.96	8.99	9.04	9.08	9.12	9.19	9.22	9.25	9.29	9.36	9.47	9.48	9.50	9.40	9.31	9.08	8.86	8.62	8.38	8.11	7.85	8.88
07/11/2021 04:50:00	8.87	9.00	9.14	9.22	9.28	9.36	9.36	9.39	9.44	9.49	9.56	9.55	9.54	9.43	9.31	9.08	8.85	8.60	8.36	8.09	7.81	8.81
07/11/2021 04:55:00	8.73	8.96	9.06	9.12	9.17	9.22	9.28	9.33	9.39	9.44	9.52	9.53	9.53	9.43	9.33	9.11	8.89	8.65	8.41	8.15	7.89	8.81
07/11/2021 05:00:00	8.82	8.94	9.00	9.07	9.13	9.19	9.25	9.33	9.42	9.47	9.55	9.56	9.57	9.47	9.38	9.17	8.96	8.73	8.50	8.25	7.99	8.82
07/11/2021 05:05:00	8.80	8.94	9.03	9.10	9.15	9.16	9.22	9.30	9.39	9.43	9.50	9.50	9.50	9.41	9.31	9.10	8.88	8.65	8.42	8.16	7.91	8.77
07/11/2021 05:10:00	8.82	8.85	8.89	8.96	9.04	9.13	9.20	9.25	9.29	9.38	9.50	9.52	9.55	9.46	9.38	9.16	8.95	8.71	8.47	8.21	7.94	8.82
07/11/2021 05:15:00	8.81	8.87	8.93	9.01	9.08	9.13	9.18	9.21	9.24	9.38	9.55	9.60	9.66	9.59	9.51	9.28	9.06	8.82	8.57	8.30	8.03	8.80
07/11/2021 05:20:00	8.79	8.84	8.94	9.00	9.05	9.10	9.18	9.24	9.29	9.37	9.48	9.51	9.53	9.44	9.35	9.13	8.92	8.68	8.44	8.18	7.92	8.65
07/11/2021 05:25:00	8.59	8.70	8.78	8.85	8.92	9.02	9.09	9.17	9.24	9.28	9.34	9.34	9.33	9.23	9.13	8.93	8.72	8.49	8.26	8.00	7.75	8.62
07/11/2021 05:30:00	8.55	8.69	8.76	8.82	8.89	8.96	9.00	9.07	9.16	9.23	9.34	9.37	9.39	9.30	9.22	9.01	8.80	8.56	8.33	8.08	7.82	8.50
