Record,Date/Time,10,Freq,Rcvr,Alpha,dTdG,K1,K2,K3,K4,Tnd
     1,01/31/2021 00:04:15,11, 22.000,0, 0.990540,  -650096.31,  0.11838377E+02, -0.11051387E+00,  0.45735975E-03, -0.74842385E-06, 170.26
     2,01/31/2021 00:04:15,11, 22.234,0, 0.990860,  -745374.44,  0.10179851E+03, -0.11226556E+01,  0.41349717E-02, -0.50834190E-05, 174.79
     3,01/31/2021 00:04:15,11, 22.500,0, 0.990600,  -833895.03,  0.96340562E+02, -0.10614590E+01,  0.37873326E-02, -0.43885409E-05, 190.61
     4,01/31/2021 00:04:15,11, 23.000,0, 0.991330,  -621762.79, -0.10738568E+03,  0.13356199E+01, -0.52665149E-02,  0.66821030E-05, 164.26
     5,01/31/2021 00:04:15,11, 23.034,0, 0.989980,  -563355.85, -0.94819243E+02,  0.11817776E+01, -0.46872285E-02,  0.59985918E-05, 163.44
     6,01/31/2021 00:04:15,11, 23.500,0, 0.992160,  -678088.89, -0.10039781E+03,  0.10750012E+01, -0.37321602E-02,  0.42036221E-05, 172.82
     7,01/31/2021 00:04:15,11, 23.834,0, 0.994300,  -740432.14, -0.12899751E+02,  0.45093552E-01,  0.19557269E-03, -0.68166150E-06, 174.37
     8,01/31/2021 00:04:15,11, 24.000,0, 0.991770,  -643675.95,  0.28632137E+02, -0.28328895E+00,  0.98252349E-03, -0.11935121E-05, 170.80
     9,01/31/2021 00:04:15,11, 24.500,0, 0.987040,  -597290.77, -0.19274877E+02,  0.25956774E+00, -0.10565601E-02,  0.13472031E-05, 167.65
    10,01/31/2021 00:04:15,11, 25.000,0, 0.987670,  -646601.02,  0.65126169E+02, -0.66407772E+00,  0.24182167E-02, -0.31127006E-05, 163.51
    11,01/31/2021 00:04:15,11, 25.500,0, 0.992660,  -603721.35, -0.15878365E+03,  0.16518840E+01, -0.57127049E-02,  0.65675415E-05, 156.77
    12,01/31/2021 00:04:15,11, 26.000,0, 0.995400,  -544488.58,  0.31054154E+02, -0.32830762E+00,  0.11441748E-02, -0.13149389E-05, 158.88
    13,01/31/2021 00:04:15,11, 26.234,0, 0.993920,  -497841.72, -0.98528266E+01,  0.10994922E+00, -0.34811138E-03,  0.29700766E-06, 154.07
    14,01/31/2021 00:04:15,11, 26.500,0, 0.994500,  -513657.51, -0.71112067E+01,  0.44336401E-01,  0.15894860E-04, -0.29042221E-06, 153.37
    15,01/31/2021 00:04:15,11, 27.000,0, 0.992510,  -449871.22,  0.28964801E+02, -0.32805850E+00,  0.12467493E-02, -0.15859384E-05, 149.64
    16,01/31/2021 00:04:15,11, 27.500,0, 0.994560,  -470551.51, -0.11014883E+03,  0.11743700E+01, -0.42078607E-02,  0.50622253E-05, 148.47
    17,01/31/2021 00:04:15,11, 28.000,0, 0.997520,  -459574.77, -0.25084516E+03,  0.26803324E+01, -0.93982259E-02,  0.10822074E-04, 155.69
    18,01/31/2021 00:04:15,11, 28.500,0, 0.992570,  -466735.86,  0.24351818E+03, -0.25341728E+01,  0.87995065E-02, -0.10195029E-04, 157.58
    19,01/31/2021 00:04:15,11, 29.000,0, 0.987610,  -434749.97, -0.10700639E+03,  0.11862719E+01, -0.43055094E-02,  0.51285777E-05, 154.67
    20,01/31/2021 00:04:15,11, 29.500,0, 0.978680,  -440692.27, -0.19633450E+03,  0.19963669E+01, -0.67576461E-02,  0.76143399E-05, 164.92
    21,01/31/2021 00:04:15,11, 30.000,0, 0.978030,  -465961.49, -0.61950534E+02,  0.65651415E+00, -0.22254514E-02,  0.24077204E-05, 155.20
Record,Date/Time,30,TkBB(K),Tnd(K) Ch  22.000,R Ch  22.000,Tnd(K) Ch  22.234,R Ch  22.234,Tnd(K) Ch  22.500,R Ch  22.500,Tnd(K) Ch  23.000,R Ch  23.000,Tnd(K) Ch  23.034,R Ch  23.034,Tnd(K) Ch  23.500,R Ch  23.500,Tnd(K) Ch  23.834,R Ch  23.834,Tnd(K) Ch  24.000,R Ch  24.000,Tnd(K) Ch  24.500,R Ch  24.500,Tnd(K) Ch  25.000,R Ch  25.000,Tnd(K) Ch  25.500,R Ch  25.500,Tnd(K) Ch  26.000,R Ch  26.000,Tnd(K) Ch  26.234,R Ch  26.234,Tnd(K) Ch  26.500,R Ch  26.500,Tnd(K) Ch  27.000,R Ch  27.000,Tnd(K) Ch  27.500,R Ch  27.500,Tnd(K) Ch  28.000,R Ch  28.000,Tnd(K) Ch  28.500,R Ch  28.500,Tnd(K) Ch  29.000,R Ch  29.000,Tnd(K) Ch  29.500,R Ch  29.500,Tnd(K) Ch  30.000,R Ch  30.000,DataQuality
Record,Date/Time,20,TkBB(K),Tnd(K) Ch  1,R Ch  1,Tnd(K) Ch  2,R Ch  2,Tnd(K) Ch  3,R Ch  3,Tnd(K) Ch  4,R Ch  4,Tnd(K) Ch  5,R Ch  5,DataQuality
    22,01/31/2021 00:06:15,31,283.889, 169.803, 0.980430, 174.372, 0.989305, 190.524, 0.974043, 162.659, 0.812584, 161.737, 0.814065, 172.609, 0.986855, 173.545, 0.997421, 170.394, 0.997972, 167.074, 0.983310, 163.001, 0.996257, 156.257, 0.991071, 158.329, 0.991516, 153.230, 0.994571, 152.731, 0.987625, 149.257, 0.994136, 148.061, 0.995906, 155.379, 0.980423, 157.272, 0.991094, 154.642, 0.980634, 164.648, 0.988695, 154.978, 0.999128,1
    23,01/31/2021 00:07:59,31,283.874, 169.850, 0.988234, 174.233, 0.989682, 190.347, 0.989389, 162.613, 0.804562, 161.697, 0.815726, 172.377, 0.993777, 173.546, 0.993023, 170.237, 0.997876, 167.100, 0.989793, 163.086, 0.995083, 155.914, 0.995872, 158.186, 0.995174, 153.378, 0.997146, 152.616, 0.992472, 149.101, 0.989871, 147.605, 0.992525, 155.082, 0.977131, 157.163, 0.993028, 154.338, 0.983510, 164.694, 0.995271, 155.060, 0.996998,1
    24,01/31/2021 00:09:43,31,283.893, 169.802, 0.990408, 174.411, 0.988290, 189.652, 0.983406, 162.231, 0.819063, 161.554, 0.820254, 171.622, 0.993797, 173.494, 0.995754, 169.988, 0.998407, 166.801, 0.991004, 162.826, 0.995058, 155.949, 0.992989, 157.816, 0.996147, 153.154, 0.997039, 152.699, 0.985731, 149.104, 0.990537, 147.796, 0.993929, 155.094, 0.973839, 156.995, 0.987858, 154.116, 0.982441, 164.278, 0.991977, 154.987, 0.996070,1
    25,01/31/2021 00:11:26,31,283.900, 169.767, 0.989969, 173.929, 0.990044, 189.363, 0.985102, 162.383, 0.828152, 161.444, 0.834063, 172.151, 0.992663, 173.368, 0.998788, 169.998, 0.998878, 166.799, 0.992953, 162.410, 0.995549, 155.682, 0.997084, 157.945, 0.993296, 152.769, 0.997655, 152.022, 0.994829, 148.166, 0.995930, 147.267, 0.998957, 154.681, 0.990810, 156.543, 0.994811, 153.650, 0.989636, 164.130, 0.994460, 154.422, 0.998767,1
    26,01/31/2021 00:13:10,31,283.923, 169.434, 0.993122, 173.683, 0.991731, 189.742, 0.989869, 162.032, 0.850779, 161.120, 0.853142, 171.721, 0.994530, 173.172, 0.996055, 169.905, 0.999183, 166.778, 0.993538, 162.619, 0.997337, 155.349, 0.996947, 157.646, 0.992917, 152.939, 0.996697, 152.573, 0.993024, 148.399, 0.995915, 147.332, 0.998740, 154.892, 0.986916, 156.671, 0.991444, 154.024, 0.987007, 164.252, 0.994600, 154.686, 0.998688,1
    27,01/31/2021 00:14:54,31,283.927, 169.499, 0.973787, 173.726, 0.982837, 189.529, 0.969786, 162.169, 0.830310, 161.378, 0.844517, 171.965, 0.978679, 173.318, 0.995869, 169.803, 0.993178, 166.586, 0.974127, 162.438, 0.991917, 155.680, 0.980826, 157.737, 0.974713, 153.120, 0.981543, 152.452, 0.970262, 148.620, 0.974593, 147.507, 0.983276, 154.694, 0.971129, 156.530, 0.975429, 153.746, 0.974157, 163.865, 0.974363, 154.744, 0.986617,1
    28,01/31/2021 00:16:38,31,283.934, 170.172, 0.988720, 174.394, 0.991480, 190.151, 0.988334, 162.752, 0.825630, 162.172, 0.843993, 172.616, 0.992700, 173.850, 0.998700, 170.679, 0.998783, 167.554, 0.993737, 163.256, 0.996216, 156.217, 0.998756, 158.353, 0.993492, 153.410, 0.996905, 152.811, 0.995018, 149.038, 0.998458, 147.881, 0.998161, 155.302, 0.990158, 157.337, 0.998301, 154.540, 0.990665, 164.777, 0.996102, 155.212, 0.998463,1
    29,01/31/2021 00:18:22,31,283.938, 169.505, 0.992157, 173.899, 0.994395, 189.847, 0.990222, 162.183, 0.825991, 161.207, 0.847510, 172.002, 0.995813, 172.809, 0.997669, 170.091, 0.999153, 166.833, 0.996848, 162.490, 0.997194, 155.687, 0.999860, 157.826, 0.997762, 152.908, 0.999313, 152.252, 0.997659, 148.341, 0.997035, 147.477, 0.999023, 154.736, 0.991788, 156.579, 0.997770, 153.761, 0.995069, 164.228, 0.999609, 154.652, 0.999310,1
    30,01/31/2021 00:20:06,31,283.934, 169.808, 0.984589, 174.199, 0.990485, 190.120, 0.961992, 162.898, 0.847850, 161.491, 0.871378, 172.623, 0.972708, 173.917, 0.992010, 170.233, 0.977621, 167.168, 0.978294, 163.036, 0.987856, 156.251, 0.978255, 158.476, 0.975979, 153.327, 0.974987, 152.805, 0.970040, 149.385, 0.977097, 147.727, 0.976778, 155.163, 0.992061, 157.331, 0.973525, 154.403, 0.981510, 165.017, 0.976547, 155.214, 0.967696,1
