Date/Time,System,MCM,RCV0,RCV1,EL,AZ,GPS,IRT,S3,PMB
01/31/2021 00:04:26,2,2,2,2,2,2,2,2,2,2
01/31/2021 00:06:16,0,2,2,0,2,2,2,2,2,2
01/31/2021 00:07:59,0,2,2,0,2,2,2,2,2,2
01/31/2021 00:09:43,0,2,2,0,2,2,2,2,2,2
01/31/2021 00:11:27,0,2,2,0,2,2,2,2,2,2
01/31/2021 00:13:11,0,2,2,0,2,2,2,2,2,2
01/31/2021 00:14:55,0,2,2,0,2,2,2,2,2,2
01/31/2021 00:16:39,0,2,2,0,2,2,2,2,2,2
01/31/2021 00:18:23,0,2,2,0,2,2,2,2,2,2
01/31/2021 00:20:07,0,2,2,0,2,2,2,2,2,2
01/31/2021 00:21:51,0,2,2,0,2,2,2,2,2,2
01/31/2021 00:23:35,0,2,2,0,2,2,2,2,2,2
01/31/2021 00:25:19,0,2,2,0,2,2,2,2,2,2
01/31/2021 00:27:03,0,2,2,0,2,2,2,2,2,2
01/31/2021 00:28:47,0,2,2,0,2,2,2,2,2,2
01/31/2021 00:30:31,0,2,2,0,2,2,2,2,2,2
01/31/2021 00:32:15,0,2,2,0,2,2,2,2,2,2
01/31/2021 00:33:59,0,2,2,0,2,2,2,2,2,2
01/31/2021 00:35:43,0,2,2,0,2,2,2,2,2,2
01/31/2021 00:37:27,0,2,2,0,2,2,2,2,2,2
01/31/2021 00:39:11,0,2,2,0,2,2,2,2,2,2
01/31/2021 00:40:55,0,2,2,0,2,2,2,2,2,2
01/31/2021 00:42:38,0,2,2,0,2,2,2,2,2,2
01/31/2021 00:44:22,0,2,2,0,2,2,2,2,2,2
01/31/2021 00:46:05,0,2,2,0,2,2,2,2,2,2
01/31/2021 00:47:49,0,2,2,0,2,2,2,2,2,2
01/31/2021 00:49:34,0,2,2,0,2,2,2,2,2,2
01/31/2021 00:51:17,0,2,2,0,2,2,2,2,2,2
01/31/2021 00:53:01,0,2,2,0,2,2,2,2,2,2
01/31/2021 00:54:45,0,2,2,0,2,2,2,2,2,2
01/31/2021 00:56:29,0,2,2,0,2,2,2,2,2,2
01/31/2021 00:58:13,0,2,2,0,2,2,2,2,2,2
01/31/2021 00:59:57,0,2,2,0,2,2,2,2,2,2
01/31/2021 01:01:41,0,2,2,0,2,2,2,2,2,2
01/31/2021 01:03:25,0,2,2,0,2,2,2,2,2,2
01/31/2021 01:05:09,0,2,2,0,2,2,2,2,2,2
01/31/2021 01:06:54,0,2,2,0,2,2,2,2,2,2
01/31/2021 01:08:38,0,2,2,0,2,2,2,2,2,2
01/31/2021 01:10:22,0,2,2,0,2,2,2,2,2,2
01/31/2021 01:12:06,0,2,2,0,2,2,2,2,2,2
01/31/2021 01:13:49,0,2,2,0,2,2,2,2,2,2
01/31/2021 01:15:33,0,2,2,0,2,2,2,2,2,2
01/31/2021 01:17:17,0,2,2,0,2,2,2,2,2,2
